,id,username,age,gender,hispanic,number,race
0,15,A1C7XI68SED8JE,30-39,Female,No,4,White
1,16,A16RLUZLJ318F5,30-39,Male,No,4,White
2,17,A3QYTYZ55E3S0V,30-39,Male,Yes,4,White
3,18,A36X6B6HXD442I,Under 20,Female,Yes,4,White
4,19,A2RQZ0H2FWPAGW,30-39,Female,No,4,White
5,20,A1GKU0Q21BSIDX,20-29,Female,No,4,Asian
6,21,A3LDQA6YZGV6NK,60+,Female,No,4,Natives
7,22,A14BO0JIQTNMOW,20-29,Female,No,4,White
8,23,A1DSBBRZR3LWXP,20-29,Female,Yes,4,White
9,24,A2NY4882G47O1C,50-59,Female,No,4,White
10,25,A258MR1IS96JEP,30-39,Male,No,4,White
11,26,A37CO0N1KC1CDW,20-29,Female,No,4,White
12,27,A1IV1O890FN1QA,20-29,Male,No,4,White
13,29,A24R73JBDOGBGH,30-39,Male,No,4,White
14,30,A34MBAYKR8R12S,20-29,Female,Yes,4,White
15,31,A3KC385CZNYEG5,40-49,Other,No,4,White
16,32,A42VJPPGH5SLM,20-29,Female,No,4,Black
17,33,A1I3QYJJU5ACFR,30-39,Male,No,4,Asian
18,34,A1L4BY5GG3U3LX,50-59,Male,No,4,Natives
19,35,A2EJIIE5RQ4BGD,20-29,Male,Yes,4,White
20,36,A30KYQGABO7JER,30-39,Female,No,4,White
21,37,A17K1CHOI773VZ,30-39,Male,No,4,White
22,38,A1J10RAFFL07DY,20-29,Female,No,4,White
23,39,AV5SPRET1Q7X5,30-39,Female,No,4,Asian
24,40,A3JCE26B4UHBCH,20-29,Female,No,4,Natives
25,41,A2I9PUZT19ZBO8,30-39,Male,No,4,White
26,42,A3CX0TDLPA4ZX8,20-29,Male,Yes,4,White
27,43,AD5PG2OAEDLK5,30-39,Female,No,4,White
28,44,A1BVG13MHBM1YD,40-49,Female,No,4,White
29,45,A3P25XPMMXWOY1,20-29,Male,Yes,4,White
