,attractive,calm,capable,diligent,extroverted,friendly,happy,healthy,high-social-status,humble,intelligent,kind,masculine,powerful,responsible,successful,trustworthy,warm
865.jpg,7.0,8.23076923076923,5.75,5.866666666666666,7.0,6.818181818181818,7.166666666666667,7.5,7.0,4.833333333333333,5.066666666666666,7.466666666666667,2.1538461538461537,4.785714285714286,6.6,6.6,7.071428571428571,7.7272727272727275
301.jpg,7.818181818181818,7.4,5.5,5.363636363636363,7.25,6.076923076923077,6.75,8.0,6.416666666666667,5.642857142857143,5.909090909090909,7.555555555555555,2.0555555555555554,3.9655172413793105,5.818181818181818,6.454545454545454,7.363636363636363,7.0
1661.jpg,6.9,5.909090909090909,5.538461538461538,5.65,4.705882352941177,4.230769230769231,4.461538461538462,7.111111111111111,7.363636363636363,4.833333333333333,5.333333333333333,4.615384615384615,5.526315789473684,6.095238095238095,5.125,5.7272727272727275,5.0,4.214285714285714
1004.jpg,5.5,7.166666666666667,7.75,7.0,6.333333333333333,7.2727272727272725,7.5,6.636363636363637,6.090909090909091,6.416666666666667,7.923076923076923,7.166666666666667,6.421052631578948,4.9375,7.090909090909091,6.666666666666667,6.642857142857143,6.615384615384615
1407.jpg,7.846153846153846,3.857142857142857,5.142857142857143,5.647058823529412,6.428571428571429,3.4545454545454546,4.1,7.517241379310345,7.0,2.1,4.111111111111111,3.8333333333333335,1.4375,5.368421052631579,4.6923076923076925,7.0,5.0,2.8333333333333335
486.jpg,7.076923076923077,6.076923076923077,5.866666666666666,6.285714285714286,6.2727272727272725,4.7,4.823529411764706,7.777777777777778,7.0,3.0,4.833333333333333,3.75,1.9090909090909092,5.235294117647059,5.0,6.068965517241379,4.714285714285714,4.466666666666667
789.jpg,1.6923076923076923,3.9,4.235294117647059,6.5,3.4615384615384617,3.3529411764705883,3.75,3.4347826086956523,4.0,4.3076923076923075,5.846153846153846,3.533333333333333,8.0,5.068965517241379,6.1,6.363636363636363,4.166666666666667,3.6470588235294117
1345.jpg,5.083333333333333,6.733333333333333,5.75,5.181818181818182,5.428571428571429,5.909090909090909,5.846153846153846,6.666666666666667,5.555555555555555,5.75,5.076923076923077,6.0,6.888888888888889,4.571428571428571,5.384615384615385,5.0,5.866666666666666,5.6
1880.jpg,4.666666666666667,4.3,4.666666666666667,6.846153846153846,4.0,4.0,3.0833333333333335,5.166666666666667,4.583333333333333,6.4,5.214285714285714,4.142857142857143,3.8333333333333335,4.625,5.588235294117647,5.0,6.666666666666667,4.8
1293.jpg,6.583333333333333,6.285714285714286,4.466666666666667,3.8461538461538463,6.333333333333333,6.333333333333333,5.529411764705882,5.909090909090909,5.526315789473684,3.466666666666667,4.1,6.181818181818182,2.1578947368421053,2.857142857142857,3.6,3.6666666666666665,5.466666666666667,5.235294117647059
