,attractive,calm,capable,diligent,extroverted,friendly,happy,healthy,high-social-status,humble,intelligent,kind,masculine,powerful,responsible,successful,trustworthy,warm
Google_1_Marvin Appel_15_oval.jpg,3.2666666666666666,6.625,5.954545454545454,6.538461538461538,5.461538461538462,6.461538461538462,5.642857142857143,5.153846153846154,6.0,6.615384615384615,6.454545454545454,7.230769230769231,3.3846153846153846,5.153846153846154,7.0,6.428571428571429,7.230769230769231,5.1
Google_1_Deborah Mathison_19_oval.jpg,4.0,6.3125,6.3,5.611111111111111,7.583333333333333,7.2,7.666666666666667,4.857142857142857,4.666666666666667,6.6,5.25,6.5,3.5,5.0,5.928571428571429,5.642857142857143,6.2,7.428571428571429
Google_1_Paul Whitson_1_oval.jpg,3.142857142857143,6.363636363636363,7.294117647058823,6.25,4.769230769230769,4.454545454545454,4.529411764705882,6.0,6.428571428571429,5.75,7.363636363636363,4.529411764705882,7.4,6.230769230769231,6.933333333333334,7.25,5.266666666666667,5.538461538461538
Albert_Belk_12_oval.jpg,6.083333333333333,7.7272727272727275,6.818181818181818,6.909090909090909,6.2727272727272725,6.0625,6.6,6.642857142857143,6.066666666666666,6.166666666666667,6.888888888888889,6.769230769230769,7.85,6.4,6.1,6.588235294117647,5.090909090909091,6.846153846153846
Google_1_Johnny Nowicki_11_oval.jpg,3.5833333333333335,6.8,6.3,7.2727272727272725,5.7272727272727275,5.733333333333333,5.5,5.571428571428571,7.125,6.571428571428571,6.909090909090909,6.25,7.428571428571429,6.916666666666667,7.75,7.181818181818182,6.4,6.636363636363637
Google_1_Nicholas Gallardo_1_oval.jpg,4.083333333333333,4.785714285714286,4.166666666666667,3.5384615384615383,3.9,3.727272727272727,3.2142857142857144,4.833333333333333,3.2666666666666666,3.8181818181818183,4.0,2.9166666666666665,5.0,3.608695652173913,3.466666666666667,3.2777777777777777,3.5384615384615383,4.0
Google_1_Norman Beggs_7_oval.jpg,5.545454545454546,6.7272727272727275,6.181818181818182,6.875,6.95,6.636363636363637,7.0,6.533333333333333,6.538461538461538,6.416666666666667,6.428571428571429,7.3076923076923075,3.1176470588235294,5.882352941176471,7.166666666666667,6.846153846153846,7.461538461538462,7.0
Google_1_Michael Turcotte_7_oval.jpg,5.583333333333333,7.230769230769231,6.769230769230769,6.6,6.5,5.4,6.9375,5.857142857142857,6.133333333333334,6.461538461538462,6.0625,7.285714285714286,3.090909090909091,5.647058823529412,7.6923076923076925,7.538461538461538,7.133333333333334,7.4375
Brian_Friedrich_19_oval.jpg,6.142857142857143,3.7333333333333334,5.5,5.0588235294117645,4.0,2.05,2.0,7.642857142857143,5.095238095238095,3.3636363636363638,4.666666666666667,3.111111111111111,5.357142857142857,4.071428571428571,2.923076923076923,3.6666666666666665,3.230769230769231,2.642857142857143
Google_1_Matthew Truman_1_oval.jpg,4.0,1.8333333333333333,2.625,3.230769230769231,2.9166666666666665,1.5384615384615385,1.6470588235294117,2.0,2.2,3.3333333333333335,2.789473684210526,1.9230769230769231,8.214285714285714,2.95,2.1578947368421053,2.6363636363636362,2.142857142857143,2.7222222222222223
